,bVtxCL,kstTMass,kstPt,kstTrkmPt,kstTrkmDCABS,kstTrkpPt,kstTrkpDCABS,mumPt,mupPt,bCosAlphaBS,bLBS,bDCABS,muLeadingPt,muTrailingPt,bLBSs,bDCABSs,kstTrkmDCABSs,kstTrkpDCABSs,kstTrkpPtR,kstTrkmPtR,muTrailingPtR,muLeadingPtR,mumuPtR,kstPtR,mumIsoPtR_dr04,mupIsoPtR_dr04,kstTrkmIsoPtR_dr04,kstTrkpIsoPtR_dr04,IsoPtR_dr04_sum
bVtxCL,1.0,-0.0027860119290216475,0.03461823563526694,0.02158157131342355,0.013003613199214533,0.027879012445353707,-0.022454801989206796,0.030306743040163123,0.028274231308686823,-0.04818480817399784,-0.1331037959675259,-0.0035582621335873863,0.04070754662282385,0.023700481356882238,-0.13498082916764836,-0.006330237953245965,0.0042711497735117504,-0.008851140282677333,0.011639282243670173,0.009730205117264495,-0.04435168396181974,0.010397625407921182,-0.0378194552127299,0.02540963958433409,0.01778223977063122,0.009187739987483897,0.02134085417301961,0.03216756156837938,0.036739395755746834
kstTMass,-0.0027860119290216475,1.0,-0.019169296774103076,0.07866446508476897,-0.008704889878174827,0.07758273636025469,-0.0012598923817353103,-0.05223970059946834,-0.06804678786257314,0.003552055793380229,-0.0074589491634165115,0.006463516620338834,-0.07811197690558029,-0.06107433302251268,0.00048726904014147155,0.006304728842057086,-0.0051808183442058195,0.00015168739184871313,0.11003993907205653,0.11150688539262564,0.020784641214062507,-0.04977316404875466,-0.06020892996623757,-0.028217059007457516,-0.002225889504557976,0.011524614082162434,-0.02931537189762148,-0.032709131034909,-0.040064745318359005
kstPt,0.03461823563526694,-0.019169296774103076,1.0,0.7676523170971538,0.009693494664423038,0.7321089288407175,-0.005342160351196148,0.17891203997942298,0.19003170023481483,0.0026956325008717125,0.019079623652952012,0.00967259767374209,0.24261657544783277,0.17933664195625518,0.010464762362898797,0.012980182057446436,-0.01077679810832193,-0.012364223664780644,0.5337435150175464,0.576152243096597,-0.3553498779521604,-0.289133369171704,-0.8399002073329129,0.8646142111292413,0.09293005614522534,0.11584800622170881,-0.024308849414004248,-0.03430180052098131,-0.025705588640502767
kstTrkmPt,0.02158157131342355,0.07866446508476897,0.7676523170971538,1.0,0.00660829604259394,0.21049370716865842,-0.00689736467263659,0.1138500146538616,0.12831849058076103,0.00792527411866728,0.015096989926919694,0.014135240767453969,0.1550690531401477,0.1268451158884597,0.01872687441707107,0.01659032276049886,0.0028753426865012126,0.0016748391517361662,0.04852560239584453,0.8584314345536129,-0.24471409593913293,-0.23364919939393958,-0.6307750064999271,0.6327160476277748,0.059561061949133035,0.08068381089964002,-0.0843705467356897,0.023373100539690102,-0.030901366042906074
kstTrkmDCABS,0.013003613199214533,-0.008704889878174827,0.009693494664423038,0.00660829604259394,1.0,0.000744316538389708,0.0023091987993938447,0.006401400208108633,-0.006768340122912563,0.007562493223412168,0.01491592423565986,0.019830381234458964,0.002927680620798791,-0.00742966975676786,0.019692860825759734,0.020269711283493044,0.36503290403830446,-0.0024892694113202224,0.002694296638731303,0.008818375073280595,-0.011217065321770015,0.00534905832045435,-0.0096961508766441,0.01459002436871354,-0.018417225325129908,0.00212359211569917,0.004470015565818008,-0.004526981221633167,-0.0009651949248271029
kstTrkpPt,0.027879012445353707,0.07758273636025469,0.7321089288407175,0.21049370716865842,0.000744316538389708,1.0,-0.002422712129206332,0.12618424019929256,0.13003591230178835,-0.0021245949112663567,0.02911318118545735,0.004006707751876292,0.1737714942916255,0.11322772539006416,0.014381547307631855,0.006016502498817725,-0.027882315437045682,-0.02610915703076871,0.8548465892946953,0.05142240562537724,-0.2563822488245327,-0.2074316867680984,-0.6092655091698987,0.6070457932213081,0.08073312270561417,0.10195392947589861,0.053456162809692405,-0.08657487556435182,-0.011170567547483972
kstTrkpDCABS,-0.022454801989206796,-0.0012598923817353103,-0.005342160351196148,-0.00689736467263659,0.0023091987993938447,-0.002422712129206332,1.0,-0.01095284234231185,0.0026683303557100317,-0.01906809116944073,0.00786019564263944,0.005634114943074239,-0.008701034219581951,0.0034324311382055686,0.006059318836436606,0.00796528074911401,-0.0002315504121455825,0.36549055861111296,0.0028495254892327584,-0.006301282829931586,0.013856638833770467,-0.005653342005774278,0.008232920351163995,-0.0027292468962657164,-0.004217871811731956,-0.009825047557605658,0.0022079127100195894,-0.009961936024940587,-0.00602135649030262
mumPt,0.030306743040163123,-0.05223970059946834,0.17891203997942298,0.1138500146538616,0.006401400208108633,0.12618424019929256,-0.01095284234231185,1.0,0.07685315689257854,0.05205269654543263,0.06061622322528474,-0.006120420548658616,0.680866485814014,0.5402942786995174,0.0018006781400522623,-0.005750209209010181,-0.008192390252164474,-0.004793969008228568,-0.15623366334671945,-0.15921836046728013,-0.35797247722108605,0.19571277685408553,-0.08518706678169363,-0.08474544861430497,0.0561402308129632,0.18250019746196422,0.07686627555297042,0.0744896892748411,0.11437135147597745
mupPt,0.028274231308686823,-0.06804678786257314,0.19003170023481483,0.12831849058076103,-0.006768340122912563,0.13003591230178835,0.0026683303557100317,0.07685315689257854,1.0,-0.00028086420548072854,0.08220591887673036,0.0076576225112136714,0.7113977796664251,0.5545042674805161,0.025380974012626872,0.018281725533671113,-0.0043738290594410815,-0.002858410892899124,-0.16328600156988962,-0.16065519580099158,-0.35001706688587414,0.2085832445932494,-0.06937616997525868,-0.09090734358041525,0.1981920185835366,0.02454980454283486,0.058040187630593376,0.05722352478198145,0.08825197892057556
bCosAlphaBS,-0.04818480817399784,0.003552055793380229,0.0026956325008717125,0.00792527411866728,0.007562493223412168,-0.0021245949112663567,-0.01906809116944073,0.05205269654543263,-0.00028086420548072854,1.0,0.22752116757563381,-0.03959403352526434,0.03511610869228647,0.02060757824520231,0.23306787354000236,-0.04337744230956869,0.010115946640245099,0.01120388727230011,-0.020668925285511314,-0.004407835703702944,-0.02052798657352906,0.02702407603801029,0.0057887360400537225,-0.013788347756888215,0.04648761634184317,0.05107209820880193,0.0013241548552495696,0.017659861064936746,0.01846891860190455
bLBS,-0.1331037959675259,-0.0074589491634165115,0.019079623652952012,0.015096989926919694,0.01491592423565986,0.02911318118545735,0.00786019564263944,0.06061622322528474,0.08220591887673036,0.22752116757563381,1.0,-0.04287569449744429,0.09526550670620572,0.06731792453730742,0.9614505135788959,-0.03436802627245436,-0.03002096119274185,-0.0205079815787523,-0.041299458357522495,-0.039606137728585046,-0.04380183972943233,0.03561180073201237,0.014537111000072708,-0.05094486609900847,0.05252433500750794,0.04672041811784045,-0.03176489083577855,-0.0033641020715518073,-0.01691795252550044
bDCABS,-0.0035582621335873863,0.006463516620338834,0.00967259767374209,0.014135240767453969,0.019830381234458964,0.004006707751876292,0.005634114943074239,-0.006120420548658616,0.0076576225112136714,-0.03959403352526434,-0.04287569449744429,1.0,-0.003498535825797744,0.010852930783588673,-0.033288572330151214,0.9699013100420374,0.06382243005439807,0.06775226542046348,0.001934177569481062,0.012088450406178513,0.007710004408842211,-0.013495998731147535,-0.00714222115587552,0.007899865135858575,-0.0380998823646599,-0.01593398134844713,-0.01609236599743093,-0.026352002438841053,-0.031054832414969098
muLeadingPt,0.04070754662282385,-0.07811197690558029,0.24261657544783277,0.1550690531401477,0.002927680620798791,0.1737714942916255,-0.008701034219581951,0.680866485814014,0.7113977796664251,0.03511610869228647,0.09526550670620572,-0.003498535825797744,1.0,0.4979682334861806,0.020854789984497392,0.0027150062395880662,-0.010323768825112305,-0.0058818001159107874,-0.20201687800757653,-0.20648517591388107,-0.6901666702524344,0.5090296366218872,-0.09964639215171463,-0.11069479992691413,0.19425924197979064,0.14391134836295227,0.09243459752096057,0.08686932098773353,0.13785041909876053
muTrailingPt,0.023700481356882238,-0.06107433302251268,0.17933664195625518,0.1268451158884597,-0.00742966975676786,0.11322772539006416,0.0034324311382055686,0.5402942786995174,0.5545042674805161,0.02060757824520231,0.06731792453730742,0.010852930783588673,0.4979682334861806,1.0,0.007890293318705235,0.018765545235092652,-0.001579580803726858,-0.0018336039471273302,-0.17230100500391654,-0.16329077994536334,0.1312903360897483,-0.3168416475090792,-0.07846809872558044,-0.0955824097991439,0.07232456876754133,0.07727243291934309,0.05674523331099608,0.06258007632188113,0.0873941542636325
