,bVtxCL,kstTMass,kstPt,kstTrkmPt,kstTrkmDCABS,kstTrkpPt,kstTrkpDCABS,mumPt,mupPt,bCosAlphaBS,bLBS,bDCABS,muLeadingPt,muTrailingPt,bLBSs,bDCABSs,kstTrkmDCABSs,kstTrkpDCABSs,kstTrkpPtR,kstTrkmPtR,muTrailingPtR,muLeadingPtR,mumuPtR,kstPtR,mumIsoPtR_dr04,mupIsoPtR_dr04,kstTrkmIsoPtR_dr04,kstTrkpIsoPtR_dr04,IsoPtR_dr04_sum
bVtxCL,1.0,0.0029891324406431346,-0.03143922788094635,-0.006399456752510946,0.03930251216568134,-0.04696963682603848,-0.0034174264723538274,-0.019096780652046917,-0.024377869273144285,0.01365519728629963,0.00018599412831688794,-0.028360856682251794,-0.0261682024406762,-0.023883014281111104,0.011794156463354926,-0.03264124846108668,0.027486344040594374,0.010218999485834357,-0.018911809254985663,0.0020325809738068463,0.016679748613191468,0.003070853784462647,0.01114916881802867,-0.01234847787177326,-0.00519904448384041,-0.0011081574781664659,-0.030946617719812452,-0.04309616513059665,-0.03889680236805417
kstTMass,0.0029891324406431346,1.0,-0.02544231759650731,-0.010574605078196835,-0.03943216557853961,-0.02985968982978694,0.03120246171032358,0.006592931736187977,-0.05028271548663302,0.023447249567168538,0.0012633941474480583,-0.04678422156135587,-0.026179566857907306,-0.027526770892721538,0.010570605496282687,-0.04635566809365432,-0.0386972340713813,0.008514987754998826,-0.012582110490822225,0.008959740748387984,0.01170294028241655,0.0022642830140527106,0.004629708829454845,-0.006223636853372179,0.01727946404446763,0.04510293275735176,-0.009962029902255563,-0.060764737251177176,-0.028457241198312725
kstPt,-0.03143922788094635,-0.02544231759650731,1.0,0.8348089480507915,-0.009747174780313112,0.7919298403768972,-0.011148128825220295,0.24785168792660112,0.28786207530445085,-0.009390282224399782,0.29780477413430023,-0.01465424743107992,0.34983112425249074,0.226693524141936,0.18993388782513576,-0.016654402832128327,-0.0438041434391041,-0.01851178872810705,0.4846842378528981,0.5385873722048068,-0.6350080080784358,-0.5083043268596987,-0.7504975881571968,0.7321213950340858,0.05846386722370509,0.05953988290235641,-0.054285787175391564,-0.05518413609272902,-0.05040692521818585
kstTrkmPt,-0.006399456752510946,-0.010574605078196835,0.8348089480507915,1.0,-0.00039202278516512975,0.32498522603378177,-0.0016925805147947027,0.2261457945455724,0.24391406997943774,-0.030491759772054167,0.242976535333757,-0.01556304870086306,0.31151256153329615,0.1868359096356031,0.14550307507144283,-0.019751961119685822,-0.029303814657926894,-0.004064381898989505,0.023276725035079056,0.7814008486790689,-0.5088087215721078,-0.3812908841302146,-0.5812146530709144,0.5668214443869846,0.06417607060942473,0.06448542403603559,-0.07893879638610465,0.01432926488856374,-0.0354729032308269
kstTrkmDCABS,0.03930251216568134,-0.03943216557853961,-0.009747174780313112,-0.00039202278516512975,1.0,-0.016418497568721907,0.2937556072689135,-0.012603297783779898,-0.024102080318922695,-0.003221091108444604,-0.026738921963953666,0.051453579718060645,-0.020181117062102804,-0.02521970362900767,-0.017691727196560352,0.049521998194745884,0.5643311090382459,0.3350401928210019,-0.002908925642174772,0.013773196368212757,-0.020409027468341178,0.006695516011274993,-0.006626391160794411,0.007673473039831015,-0.011699108720060736,-0.013161176752387193,0.005141241872238086,-0.01057540139951418,-0.002985559795420213
kstTrkpPt,-0.04696963682603848,-0.02985968982978694,0.7919298403768972,0.32498522603378177,-0.016418497568721907,1.0,-0.017540298797806796,0.17497836217540183,0.22425622062020958,0.017588039507753287,0.24205440374628057,-0.007714844923946777,0.2557055461017294,0.1822287666020431,0.1645017508223065,-0.006567455669278617,-0.04302341884919544,-0.02753954748118724,0.8059670393291908,0.05745094762720786,-0.5253580681358007,-0.4490551466776176,-0.6429777463082353,0.627488227930348,0.029789158227584156,0.030856577275969285,-0.005225090104625576,-0.11116766576381001,-0.047100508223199236
kstTrkpDCABS,-0.0034174264723538274,0.03120246171032358,-0.011148128825220295,-0.0016925805147947027,0.2937556072689135,-0.017540298797806796,1.0,-0.007461634563680807,-0.013418000197702862,0.0018740696595696087,-0.0164470392841228,0.0098564332864883,-0.011020791628018384,-0.015416721529112339,-0.012078741428677974,0.016129836282221064,0.3734811006669859,0.628825193301917,-0.011522877338345243,0.0069238564197263855,-0.01821333416802491,0.018628379838194112,0.002205697445264246,-0.0032133655153260346,-0.014339098696766747,-0.012016979187466905,-0.030870272864739937,0.001530693921574243,-0.020976369694953124
mumPt,-0.019096780652046917,0.006592931736187977,0.24785168792660112,0.2261457945455724,-0.012603297783779898,0.17497836217540183,-0.007461634563680807,1.0,0.2150617929999503,0.016934149459848856,0.26588014223526824,-0.019866219599491076,0.7336481603753852,0.6033990765117813,0.127966062134114,-0.03008869164578104,-0.00889143634486446,0.00851223130344745,-0.16218268105112305,-0.11669159389228034,-0.19780035162189177,0.3122187231394889,0.16165511678844208,-0.1951845823599976,-0.027327489242241734,0.06678526989937057,0.028187162221870815,0.06487573540770904,0.048145334432103594
mupPt,-0.024377869273144285,-0.05028271548663302,0.28786207530445085,0.24391406997943774,-0.024102080318922695,0.22425622062020958,-0.013418000197702862,0.2150617929999503,1.0,-0.008910111993908459,0.30849605302012195,-0.024233202497145258,0.7710489281146466,0.6118424015975655,0.13841641726393167,-0.04073559843110057,-0.09658446500891135,-0.05396005329236112,-0.1385137509494031,-0.10151112939058343,-0.16664456234997027,0.2606253325234796,0.1377192145311738,-0.16786203362815505,0.16283527650699342,-0.0035684222065772344,0.03987966148802065,0.09116534240743554,0.07712879512008097
bCosAlphaBS,0.01365519728629963,0.023447249567168538,-0.009390282224399782,-0.030491759772054167,-0.003221091108444604,0.017588039507753287,0.0018740696595696087,0.016934149459848856,-0.008910111993908459,1.0,0.11386318010856547,0.0017270581996742362,0.004644278442128929,0.0031702141677142723,0.11316126376171728,0.005550118287448243,-0.0015487469638564007,0.0011677564406808805,0.021682377280813386,-0.04671402354564927,0.007265906132730289,0.00805044957601575,0.017209762281605825,-0.016612901595240464,-0.009874005614830893,0.012057552945046185,0.0005348805036004556,0.00016403754206607423,0.00041265973931647616
